Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
26;13-02-2019;17:05:47;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
27;13-02-2019;17:05:48;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
28;13-02-2019;17:05:50;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
29;13-02-2019;17:05:50;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
30;13-02-2019;17:05:50;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
31;13-02-2019;17:05:51;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
32;13-02-2019;17:05:53;30;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
33;13-02-2019;17:06:16;30;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
34;13-02-2019;17:06:17;30;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
35;13-02-2019;17:06:17;30;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
36;13-02-2019;17:06:18;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
37;13-02-2019;17:06:53;10;-;Trovan Unique;0007B01CE3;-;00000000;00000000;-;""
38;13-02-2019;17:06:53;10;-;Trovan Unique;0007B01CE3;-;00000000;00000000;-;""
39;13-02-2019;17:06:55;10;-;Trovan Unique;0007B01CE3;-;00000000;00000000;-;""
40;13-02-2019;17:06:56;10;-;Trovan Unique;0007B01CE3;-;00000000;00000000;-;""
